STATUS | wrapper  | 2017/10/15 22:08:46 | --> Wrapper Started as Daemon
INFO   | jvm 1    | 2017/10/15 22:08:51 | 2017-10-15 22:08:51.108  INFO 1093 --- [ost-startStop-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
INFO   | jvm 1    | 2017/10/15 22:08:51 | 2017-10-15 22:08:51.108  INFO 1093 --- [ost-startStop-1] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 2596 ms
INFO   | jvm 1    | 2017/10/15 22:08:51 | 2017-10-15 22:08:51.275  INFO 1093 --- [ost-startStop-1] o.s.b.w.servlet.ServletRegistrationBean  : Mapping servlet: 'dispatcherServlet' to [/]
INFO   | jvm 1    | 2017/10/15 22:08:51 | 2017-10-15 22:08:51.281  INFO 1093 --- [ost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'characterEncodingFilter' to: [/*]
INFO   | jvm 1    | 2017/10/15 22:08:51 | 2017-10-15 22:08:51.282  INFO 1093 --- [ost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
INFO   | jvm 1    | 2017/10/15 22:08:51 | 2017-10-15 22:08:51.282  INFO 1093 --- [ost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'httpPutFormContentFilter' to: [/*]
INFO   | jvm 1    | 2017/10/15 22:08:51 | 2017-10-15 22:08:51.282  INFO 1093 --- [ost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'requestContextFilter' to: [/*]
INFO   | jvm 1    | 2017/10/15 22:08:51 | 2017-10-15 22:08:51.385  INFO 1093 --- [erSimpleAppMain] o.s.j.d.DriverManagerDataSource          : Loaded JDBC driver: com.mysql.jdbc.Driver
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.228  INFO 1093 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerAdapter : Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@79f5fb58: startup date [Sun Oct 15 22:08:48 CST 2017]; root of context hierarchy
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.317  INFO 1093 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/iphonebackstage/basicservice],methods=[POST]}" onto public com.iphone.iphonebackstage.dto.BasicServiceResBody com.iphone.controller.IphoneBackstageController.loginlog(com.iphone.iphonebackstage.dto.BasicServiceReqBody)
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.318  INFO 1093 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/iphonebackstage/serviceclassicedit],methods=[PATCH]}" onto public void com.iphone.controller.IphoneBackstageController.serviceclassicedit()
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.319  INFO 1093 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/iphonebackstage/userleveledit],methods=[PATCH]}" onto public void com.iphone.controller.IphoneBackstageController.userleveledit()
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.319  INFO 1093 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/iphonebackstage/orderstatusedit],methods=[PATCH]}" onto public void com.iphone.controller.IphoneBackstageController.orderstatusedit()
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.319  INFO 1093 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/iphonebackstage/historyorderquery],methods=[POST]}" onto public com.iphone.iphone.dto.OrdersQueryResBody com.iphone.controller.IphoneBackstageController.placeorder(com.iphone.iphone.dto.OrdersQueryReqBody)
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.319  INFO 1093 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/iphonebackstage/customerinfo],methods=[POST]}" onto public com.iphone.iphonebackstage.dto.CustomerInfoResBody com.iphone.controller.IphoneBackstageController.placeorder(com.iphone.iphonebackstage.dto.CustomerInfoReqBody)
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.321  INFO 1093 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/iphone/register],methods=[POST]}" onto public com.iphone.iphone.dto.UserInfoResBody com.iphone.controller.IphoneController.register(com.iphone.iphone.dto.UserInfoReqBody)
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.321  INFO 1093 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/iphone/loginlog],methods=[POST]}" onto public com.iphone.iphone.dto.LoginLogResBody com.iphone.controller.IphoneController.loginlog(com.iphone.iphone.dto.LoginLogReqBody)
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.322  INFO 1093 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/iphone/historyorderquery],methods=[POST]}" onto public com.iphone.iphone.dto.OrdersQueryResBody com.iphone.controller.IphoneController.placeorder(com.iphone.iphone.dto.OrdersQueryReqBody)
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.322  INFO 1093 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/iphone/userlogin],methods=[POST]}" onto public com.iphone.iphone.dto.UserInfoResBody com.iphone.controller.IphoneController.userlogin(com.iphone.iphone.dto.UserInfoReqBody)
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.322  INFO 1093 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/iphone/hotservice],methods=[POST]}" onto public com.iphone.iphone.dto.HotServiceResBody com.iphone.controller.IphoneController.hotservice(com.iphone.iphone.dto.HotServiceReqBody)
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.322  INFO 1093 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/iphone/accountrecord],methods=[POST]}" onto public com.iphone.iphone.dto.OrdersQueryResBody com.iphone.controller.IphoneController.accountrecord(com.iphone.iphone.dto.OrdersQueryReqBody)
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.322  INFO 1093 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/iphone/personaldatamodify],methods=[PATCH]}" onto public void com.iphone.controller.IphoneController.personaldatamodify(com.iphone.iphone.dto.UserInfoReqBody)
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.323  INFO 1093 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/iphone/userchangepw],methods=[PATCH]}" onto public void com.iphone.controller.IphoneController.userchangepw(com.iphone.iphone.dto.UserInfoReqBody)
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.323  INFO 1093 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/iphone/rechargerecord],methods=[POST]}" onto public com.iphone.iphone.dto.RechargeRecordResBody com.iphone.controller.IphoneController.rechargerecord(com.iphone.iphone.dto.RechargeRecordReqBody)
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.329  INFO 1093 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.329  INFO 1093 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.382  INFO 1093 --- [erSimpleAppMain] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.382  INFO 1093 --- [erSimpleAppMain] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.447  INFO 1093 --- [erSimpleAppMain] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
INFO   | jvm 1    | 2017/10/15 22:08:52 | 2017-10-15 22:08:52.723  INFO 1093 --- [erSimpleAppMain] o.s.j.e.a.AnnotationMBeanExporter        : Registering beans for JMX exposure on startup
INFO   | jvm 1    | 2017/10/15 22:08:53 | 2017-10-15 22:08:52.962  INFO 1093 --- [erSimpleAppMain] s.b.c.e.t.TomcatEmbeddedServletContainer : Tomcat started on port(s): 8080 (http)
INFO   | jvm 1    | 2017/10/15 22:08:53 | 2017-10-15 22:08:52.971  INFO 1093 --- [erSimpleAppMain] com.iphone.Application                   : Started Application in 5.404 seconds (JVM running for 6.016)
INFO   | jvm 1    | 2017/10/15 23:26:34 | 2017-10-15 23:26:34.722  INFO 1093 --- [nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring FrameworkServlet 'dispatcherServlet'
INFO   | jvm 1    | 2017/10/15 23:26:34 | 2017-10-15 23:26:34.722  INFO 1093 --- [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : FrameworkServlet 'dispatcherServlet': initialization started
INFO   | jvm 1    | 2017/10/15 23:26:34 | 2017-10-15 23:26:34.765  INFO 1093 --- [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : FrameworkServlet 'dispatcherServlet': initialization completed in 43 ms
INFO   | jvm 1    | 2017/10/15 23:26:36 | 2017-10-15 23:26:36.488  INFO 1093 --- [nio-8080-exec-1] c.i.c.IphoneBackstageController          : 基础服务查询
INFO   | jvm 1    | 2017/10/15 23:40:03 | 2017-10-15 23:40:03.626  INFO 1093 --- [nio-8080-exec-8] c.i.c.IphoneBackstageController          : 基础服务查询
